account_value,date,daily_return
6374050.371927801,2014-06-20,0.0037643037102195187
6417737.011927797,2014-06-23,0.006853827229291953
6584872.651927798,2014-06-24,0.026042768609771283
6219879.691927798,2014-06-25,-0.055429008166641425
6228984.051927798,2014-06-26,0.0014637517847517767
6242064.291927799,2014-06-27,0.0020998994203480503
6341758.3719278,2014-06-30,0.01597133181228605
6301895.891927802,2014-07-01,-0.0062857140972844006
6325242.611927802,2014-07-02,0.0037047136925738577
6371939.011927798,2014-07-03,0.007382546862619854
6377329.131927798,2014-07-04,0.0008459151900088724
6389467.011927799,2014-07-07,0.0019032858033363187
6325309.2919278,2014-07-08,-0.010041169299447206
6271718.931927798,2014-07-09,-0.008472369891602272
6256651.491927801,2014-07-10,-0.0024024418446580986
6292013.931927798,2014-07-11,0.005651975349054039
6459676.4919278,2014-07-14,0.026646883146463685
6523239.211927799,2014-07-15,0.009839923110612325
6506942.011927797,2014-07-16,-0.002498329353030848
6471412.571927802,2014-07-17,-0.0054602361500789565
6630354.051927797,2014-07-18,0.024560554320004924
6645541.371927799,2014-07-21,0.002290574512470611
6729454.0119277965,2014-07-22,0.012626908073202658
6749183.731927798,2014-07-23,0.002931845579898562
6836132.651927798,2014-07-24,0.012882879390092361
6875543.2119278,2014-07-25,0.00576503734006506
6975542.131927798,2014-07-28,0.014544148282933822
6929935.8119278,2014-07-29,-0.006538032333179178
6826378.651927796,2014-07-30,-0.014943451542763442
6905572.491927798,2014-07-31,0.011601149604796301
6881235.851927797,2014-08-01,-0.003524203102414525
7003651.171927797,2014-08-04,0.017789728856002496
7010380.2519278005,2014-08-05,0.00096079599551957
6969610.731927799,2014-08-06,-0.005815593239580696
6848905.571927798,2014-08-07,-0.017318780724302263
6891030.491927798,2014-08-08,0.00615060604319928
6969511.611927798,2014-08-11,0.011388880094484133
6937483.531927801,2014-08-12,-0.004595455432656714
6918928.091927799,2014-08-13,-0.0026746643670727543
6914822.811927798,2014-08-14,-0.0005933404633574613
6973251.0119277965,2014-08-15,0.008449703136168774
6987332.811927798,2014-08-18,0.002019402424481065
6948531.891927798,2014-08-19,-0.005553037338333788
6963855.251927798,2014-08-20,0.0022052658372051503
6901640.491927799,2014-08-21,-0.00893395364338967
6906090.491927799,2014-08-22,0.0006447742395745415
6863143.331927798,2014-08-25,-0.006218736932306346
6865091.891927797,2014-08-26,0.00028391655335746613
6955886.451927801,2014-08-27,0.013225541832406096
6906901.011927797,2014-08-28,-0.007042300120702394
7019156.491927797,2014-08-29,0.0162526551062685
7054307.3319278,2014-09-01,0.005007843896973618
7202299.091927797,2014-09-02,0.020978921534958728
7269890.0519277975,2014-09-03,0.009384636646894595
7318137.811927797,2014-09-04,0.006636656078066183
