account_rewards,date
-237723.7496000023,2016-02-26
65949.26200000165,2016-02-29
221781.9156000016,2016-03-01
-68416.65040000316,2016-03-02
-14162.358399999266,2016-03-03
28060.47240000178,2016-03-04
-75007.61040000158,2016-03-07
-135763.57920000196,2016-03-08
-223806.99239999693,2016-03-09
-58776.85079999737,2016-03-10
95804.39799999638,2016-03-11
55099.408,2016-03-14
-26316.250400000146,2016-03-15
47345.96520000135,2016-03-16
62331.593199998344,2016-03-17
149671.85479999977,2016-03-18
-126750.44359999735,2016-03-21
-44169.853200001904,2016-03-22
-145019.50919999758,2016-03-23
-80307.4472000011,2016-03-24
-66359.1060000029,2016-03-25
-131338.64439999644,2016-03-28
137645.7531999966,2016-03-29
-62301.05319999567,2016-03-30
-90195.37759999865,2016-03-31
88454.47439999976,2016-04-01
-97792.71440000014,2016-04-05
-196465.13680000254,2016-04-06
-98145.6740000012,2016-04-07
26149.788800001603,2016-04-08
-70056.11360000166,2016-04-11
16259.049999998708,2016-04-12
-37994.67879999918,2016-04-13
-49236.99159999789,2016-04-14
-186322.19439999887,2016-04-15
-47567.82080000128,2016-04-18
-184300.88760000214,2016-04-19
-194221.3619999996,2016-04-20
-49692.765600000595,2016-04-21
-144211.06040000048,2016-04-22
1685.5852000013763,2016-04-25
-112773.14359999825,2016-04-26
-55784.03560000076,2016-04-27
-48710.81799999978,2016-04-28
105029.21279999903,2016-04-29
-73101.4196000007,2016-05-03
-66848.30040000084,2016-05-04
-272273.38000000105,2016-05-05
-251578.10519999856,2016-05-06
-67404.98959999958,2016-05-09
42305.71119999992,2016-05-10
-49347.25799999914,2016-05-11
-130970.21000000072,2016-05-12
16126.545600000423,2016-05-13
-14101.058000002464,2016-05-16
-136489.46399999666,2016-05-17
-48684.80160000208,2016-05-18
38436.62320000141,2016-05-19
-58763.70120000052,2016-05-20
-439372.5335999979,2016-05-23
-104914.26960000125,2016-05-24
-29217.7364000003,2016-05-25
-109241.40400000021,2016-05-26
-78694.93320000097,2016-05-27
224874.28040000252,2016-05-30
-88614.84840000102,2016-05-31
-44460.03640000297,2016-06-01
67857.12560000448,2016-06-02
-57194.4604000013,2016-06-03
-46079.7904,2016-06-06
-125186.24479999961,2016-06-07
-310796.0235999984,2016-06-08
-63707.77720000059,2016-06-13
54525.06439999894,2016-06-14
-253493.59280000022,2016-06-15
-1217.6660000015704,2016-06-16
-28062.46079999956,2016-06-17
-109917.80119999903,2016-06-20
47348.4171999983,2016-06-21
-118982.90359999625,2016-06-22
-137872.06320000195,2016-06-23
34558.596799999046,2016-06-24
10936.449200000703,2016-06-27
-71728.09039999818,2016-06-28
-35895.05200000078,2016-06-29
-107014.43880000031,2016-06-30
68612.7444000015,2016-07-01
-66685.63800000351,2016-07-04
-14308.433599999486,2016-07-05
-40078.06559999796,2016-07-06
-110796.92720000168,2016-07-07
-28337.606400001012,2016-07-08
112641.85440000366,2016-07-11
-102961.52320000209,2016-07-12
-97514.5200000003,2016-07-13
-60178.05400000057,2016-07-14
-101272.0395999985,2016-07-15
-126262.31760000113,2016-07-18
-70945.17199999867,2016-07-19
8170.423199998582,2016-07-20
-136254.41799999803,2016-07-21
-63465.20080000161,2016-07-22
34802.953599997745,2016-07-25
-198651.6519999977,2016-07-26
-59505.35080000103,2016-07-27
-82098.15920000015,2016-07-28
-186797.85919999817,2016-07-29
-40155.00840000195,2016-08-01
-82187.15919999899,2016-08-02
-58937.62240000064,2016-08-03
-66265.41359999895,2016-08-04
3779.8199999987382,2016-08-05
-19446.611999998884,2016-08-08
-87265.06920000208,2016-08-09
-90347.58119999977,2016-08-10
6219.543200000526,2016-08-11
194268.3360000035,2016-08-12
-112939.55400000094,2016-08-15
-110738.39800000151,2016-08-16
-122691.56559999831,2016-08-17
-76209.8484000016,2016-08-18
-64387.75880000087,2016-08-19
-85554.16039999611,2016-08-22
-74186.13080000276,2016-08-23
-138731.65120000177,2016-08-24
-70335.57679999666,2016-08-25
-70900.99519999919,2016-08-26
-72291.23680000451,2016-08-29
-55029.64119999771,2016-08-30
-101883.65479999874,2016-08-31
-31035.46360000012,2016-09-01
-116457.89240000103,2016-09-02
-30442.678800001275,2016-09-05
-78911.64519999942,2016-09-06
-77325.05840000155,2016-09-07
-114752.47039999795,2016-09-08
-159029.78399999868,2016-09-09
-51328.84919999952,2016-09-12
-115631.82920000095,2016-09-13
-281.93640000025255,2016-09-14
-94652.89920000157,2016-09-19
-69649.99560000034,2016-09-20
-28954.77839999695,2016-09-21
-89157.11160000158,2016-09-22
-209568.75880000214,2016-09-23
-34465.41359999676,2016-09-26
-74210.01560000073,2016-09-27
-33715.20279999933,2016-09-28
-53730.843600001775,2016-09-29
42713.663999999284,2016-09-30
-57843.34079999677,2016-10-10
-106749.35960000199,2016-10-11
-62088.2567999984,2016-10-12
-89731.40480000111,2016-10-13
-107541.59320000016,2016-10-14
8206.185999999148,2016-10-17
-77256.25079999935,2016-10-18
-69173.76119999996,2016-10-19
-61348.72120000185,2016-10-20
-9275.243199997021,2016-10-21
-72359.55840000232,2016-10-24
-67639.5047999966,2016-10-25
-62047.72680000075,2016-10-26
-53746.604400002085,2016-10-27
-57641.1639999991,2016-10-28
-25333.78120000212,2016-10-31
-91540.27559999777,2016-11-01
-45056.18719999891,2016-11-02
-123740.4307999997,2016-11-03
-87403.51440000434,2016-11-04
-25400.7023999974,2016-11-07
-149119.56679999863,2016-11-08
7778.158399998599,2016-11-09
-20352.480800001016,2016-11-10
-74727.87559999675,2016-11-11
-75235.33040000328,2016-11-14
-61612.400799996256,2016-11-15
-73383.40800000398,2016-11-16
-122082.15319999767,2016-11-17
-33021.37559999792,2016-11-18
-3416.0692000024383,2016-11-21
-89892.66879999908,2016-11-22
-36396.72480000038,2016-11-23
-42859.0376000016,2016-11-24
-86287.42919999985,2016-11-25
-40323.61000000085,2016-11-28
-122839.63879999547,2016-11-29
-48166.142000001564,2016-11-30
-144459.82520000346,2016-12-01
-151620.30320000113,2016-12-02
-81484.50119999648,2016-12-05
-44013.227599999394,2016-12-06
