account_rewards,date
24975.74519999642,2014-12-18
-84726.74839999873,2014-12-19
-152852.3091999981,2014-12-22
-352346.12160000164,2014-12-23
85577.43240000147,2014-12-24
128054.66759999862,2014-12-25
-52206.130399997375,2014-12-26
-11288.678400001125,2014-12-29
123081.79720000134,2014-12-30
423480.44999999873,2014-12-31
-126631.14079999994,2015-01-05
-84401.62600000043,2015-01-06
-270459.11879999697,2015-01-07
-217318.35680000298,2015-01-08
-236794.80040000068,2015-01-09
-118399.14840000485,2015-01-12
-151667.53799999907,2015-01-13
135322.1572000097,2015-01-14
-98754.03600000532,2015-01-15
-876337.7383999977,2015-01-16
-42218.876400004854,2015-01-19
255401.7800000087,2015-01-20
-22595.502800011847,2015-01-21
-104090.2319999945,2015-01-22
-50309.62439999232,2015-01-23
-228363.83240000854,2015-01-26
-240213.40999999843,2015-01-27
-199828.5915999999,2015-01-28
-131157.5864000014,2015-01-29
-257506.59159999483,2015-01-30
91365.2739999958,2015-02-02
-166340.84359999836,2015-02-03
-219658.80399999907,2015-02-04
-204549.9500000022,2015-02-05
109616.88200000262,2015-02-06
-1950.8548000040437,2015-02-09
-58154.9299999986,2015-02-10
-106951.48359999873,2015-02-11
-55083.78159999927,2015-02-12
-63970.38040000291,2015-02-13
-58974.675999997606,2015-02-16
-98744.78680000176,2015-02-17
114228.74479999796,2015-02-25
-15919.36919999963,2015-02-26
-68720.94079999613,2015-02-27
-361155.0528000007,2015-03-02
-42367.88760000141,2015-03-03
-256230.91239999956,2015-03-04
-137269.18479999978,2015-03-05
110640.77800000075,2015-03-06
-199799.4504000002,2015-03-09
-29206.28680000127,2015-03-10
57062.29639999972,2015-03-11
-119427.4036,2015-03-12
86796.11599999908,2015-03-13
90986.89480000104,2015-03-16
161233.21120000494,2015-03-17
-233129.5932000042,2015-03-18
-23593.33879999948,2015-03-19
83851.39960000016,2015-03-20
-138498.63800000213,2015-03-23
-263214.6763999982,2015-03-24
56699.03759999778,2015-03-25
-143173.8800000002,2015-03-26
199865.2428000043,2015-03-27
-142867.9184000008,2015-03-30
46345.656400001375,2015-03-31
-147628.71280000012,2015-04-01
-8930.161599999185,2015-04-02
17887.59159999781,2015-04-03
-3773.364000001368,2015-04-07
-181965.0271999959,2015-04-08
99786.94159999734,2015-04-09
62007.54119999726,2015-04-10
-61005.28319999867,2015-04-13
-183369.07279999353,2015-04-14
524718.7259999972,2015-04-15
287751.8675999943,2015-04-16
46600.70080000347,2015-04-17
363795.8712000046,2015-04-20
264322.6539999953,2015-04-21
-378816.487999999,2015-04-22
-63388.198400002766,2015-04-23
177754.71160000184,2015-04-24
-415580.9928000042,2015-04-27
-59721.322399995384,2015-04-28
-95152.1847999979,2015-04-29
-56173.64760000253,2015-04-30
-765334.5207999978,2015-05-04
-219819.8164000013,2015-05-05
-141704.45519999918,2015-05-06
106968.05039999577,2015-05-07
130201.50800000387,2015-05-08
87400.76079999884,2015-05-11
-311709.9188000047,2015-05-12
-268996.3043999977,2015-05-13
-321637.5875999979,2015-05-14
-217125.9768,2015-05-15
215477.04919999663,2015-05-18
50544.99320000148,2015-05-19
127333.62879999944,2015-05-20
370331.09919999907,2015-05-21
422556.4168000022,2015-05-22
198843.5483999979,2015-05-25
-391584.583999998,2015-05-26
-1093185.059200002,2015-05-27
-128570.69399999769,2015-05-28
394917.2907999959,2015-05-29
-141142.6195999953,2015-06-01
-384082.4464000021,2015-06-02
-271696.94679999904,2015-06-03
-852.3735999984456,2015-06-04
190809.20439999923,2015-06-05
-251857.47239999843,2015-06-08
-200054.4612000011,2015-06-09
-181162.93480000243,2015-06-10
5466.755599999018,2015-06-11
-334092.6679999986,2015-06-12
-778427.690400003,2015-06-15
-112853.34279999605,2015-06-16
-680147.3791999975,2015-06-17
-582692.4944000043,2015-06-18
546533.4028000031,2015-06-19
174885.23039999642,2015-06-23
-556883.0847999986,2015-06-24
-1017225.3116000004,2015-06-25
-385134.7979999996,2015-06-26
451681.85880000016,2015-06-29
-631781.8367999993,2015-06-30
-378341.52520000195,2015-07-01
-720978.9528,2015-07-02
39666.95280000134,2015-07-03
-386697.23160000064,2015-07-06
-762799.2551999986,2015-07-07
729159.0051999972,2015-07-08
454567.0220000041,2015-07-09
-90765.29240000239,2015-07-10
-366431.973599999,2015-07-13
-70280.22360000001,2015-07-14
1214.8199999987182,2015-07-15
-131880.808400002,2015-07-16
72472.93400000352,2015-07-17
-248580.9568000017,2015-07-20
-51538.29399999747,2015-07-21
147264.53559999913,2015-07-22
-181377.68880000245,2015-07-23
-1142558.0319999976,2015-07-24
-194324.40840000124,2015-07-27
295266.0100000038,2015-07-28
-245682.0796000009,2015-07-29
-337034.30959999823,2015-07-30
-306580.3052000032,2015-07-31
293957.08400000376,2015-08-03
-225204.08200000785,2015-08-04
-223283.0991999975,2015-08-05
179928.91239999616,2015-08-06
362002.0984000023,2015-08-07
-161607.8600000001,2015-08-10
-150075.8579999955,2015-08-11
-69475.12640000573,2015-08-12
-127254.23439999932,2015-08-13
-225017.2927999965,2015-08-14
-671064.5300000011,2015-08-17
-39085.51399999776,2015-08-18
-560902.5636000028,2015-08-19
-380277.5211999984,2015-08-20
-902665.8824000006,2015-08-21
-444664.2303999972,2015-08-24
-46886.9008000009,2015-08-25
492269.09800000285,2015-08-26
110366.29799999809,2015-08-27
114421.69919999897,2015-08-28
-247725.5063999995,2015-08-31
-214034.5903999997,2015-09-01
-463677.9931999987,2015-09-02
16124.853599998438,2015-09-07
29995.441599995524,2015-09-08
-54918.17519999843,2015-09-09
-159589.8035999964,2015-09-10
62817.80519999919,2015-09-11
-332066.54160000023,2015-09-14
223961.50920000003,2015-09-15
-349711.60719999933,2015-09-16
-79719.11999999883,2015-09-17
7038.4623999979,2015-09-18
-88689.39880000266,2015-09-21
-273139.4167999955,2015-09-22
6889.43599999882,2015-09-23
-189735.58240000022,2015-09-24
-107794.82879999753,2015-09-25
-247990.91840000293,2015-09-28
64895.398400002174,2015-09-29
141047.76959999892,2015-09-30
-65855.90360000155,2015-10-08
11545.123600001156,2015-10-09
-106521.97079999867,2015-10-12
29626.515199994785,2015-10-13
190341.63280000578,2015-10-14
28683.78679999776,2015-10-15
-217936.0240000019,2015-10-16
-86199.90720000153,2015-10-19
-188952.65000000072,2015-10-20
86764.36960000469,2015-10-21
41548.33880000004,2015-10-22
-41623.687600003126,2015-10-23
-79631.29759999814,2015-10-26
-335371.79479999933,2015-10-27
-88653.96760000252,2015-10-28
-82205.46759999625,2015-10-29
-204586.4584000018,2015-10-30
-132222.2768000002,2015-11-02
193718.85600000428,2015-11-03
-48831.46600001007,2015-11-04
129847.55920000226,2015-11-05
-14550.669199994567,2015-11-06
-84910.32400000142,2015-11-09
-168179.32400000188,2015-11-10
-154631.34600000072,2015-11-11
-216069.98959999875,2015-11-12
-158560.15719999833,2015-11-13
21021.823999998986,2015-11-16
-157704.12239999752,2015-11-17
