account_rewards,date
4035.8423154005422,2015-12-04
-303060.0710692008,2015-12-07
38175.2109376978,2015-12-08
-248775.43532639556,2015-12-09
79260.39929709744,2015-12-10
395986.0716818056,2015-12-11
-78547.83332410555,2015-12-14
92024.81991300025,2015-12-15
156251.5626207982,2015-12-16
-35237.759543897584,2015-12-17
154996.99456599914,2015-12-18
-89032.32872419695,2015-12-21
-2293.485058001423,2015-12-22
191146.34831900083,2015-12-23
264167.8972878025,2015-12-24
-422968.25663580233,2015-12-25
-214284.56933069674,2015-12-28
-155802.53693440417,2015-12-29
-305593.66826069704,2015-12-30
-1197721.0949184028,2015-12-31
-229528.01204279924,2016-01-04
365879.56439040083,2016-01-05
-1142889.0396779005,2016-01-06
278272.2177184974,2016-01-07
-283114.5635063996,2016-01-08
216845.4655501987,2016-01-11
-210545.07908849535,2016-01-12
243174.15793989447,2016-01-13
-623477.4603132973,2016-01-14
143531.19986420486,2016-01-15
369717.70599749265,2016-01-18
-234064.6753719984,2016-01-19
-587063.5408278962,2016-01-20
202130.65618850006,2016-01-21
214054.80731339773,2016-01-22
-748846.1080881975,2016-01-25
122338.21063729891,2016-01-26
-261188.3620694983,2016-01-27
501715.0059760978,2016-01-28
132779.52575260418,2016-01-29
400055.045863291,2016-02-01
458568.03289940447,2016-02-02
65784.57054019942,2016-02-03
-33972.28466850351,2016-02-04
6486.70125320577,2016-02-05
207038.26323909726,2016-02-15
50673.87151799996,2016-02-16
15111.445645004751,2016-02-17
-19633.831920003777,2016-02-18
124063.28745300125,2016-02-19
-33145.04778499916,2016-02-22
-34304.67298329982,2016-02-23
-414386.4215975015,2016-02-24
84462.40991190034,2016-02-25
-68315.90986019911,2016-02-26
160528.82446199557,2016-02-29
306306.9739521044,2016-03-01
33445.07998530235,2016-03-02
46959.879582095804,2016-03-03
47283.2768262018,2016-03-04
22902.998637399778,2016-03-07
-168658.44756420018,2016-03-08
-249207.85160759714,2016-03-09
2349.693935398239,2016-03-10
49292.62345370003,2016-03-11
-11893.219594302866,2016-03-14
-46181.88108140236,2016-03-15
55543.539800404025,2016-03-16
67620.63283209849,2016-03-17
147779.04712199958,2016-03-18
-110857.03544979969,2016-03-21
-97796.79873899941,2016-03-22
-152499.94617040158,2016-03-23
32268.16912730204,2016-03-24
-138671.4338453014,2016-03-25
-89986.70032589609,2016-03-28
125331.6612901953,2016-03-29
-14450.057258296376,2016-03-30
43710.227678495925,2016-03-31
88851.22521859901,2016-04-01
-42277.43973879494,2016-04-05
-61164.68694399814,2016-04-06
-120163.52674720025,2016-04-07
97405.72282079725,2016-04-08
12739.766393697779,2016-04-11
121735.92124300239,2016-04-12
-32209.752139299206,2016-04-13
-15812.69574129938,2016-04-14
-91993.775328804,2016-04-15
21475.808239403763,2016-04-18
-73870.75121470173,2016-04-19
2905.7441474001484,2016-04-20
-49032.29671639761,2016-04-21
-50465.17538059904,2016-04-22
17608.123356995893,2016-04-25
-22929.874617602698,2016-04-26
-65726.99695179798,2016-04-27
-15293.306462599956,2016-04-28
87126.40929489987,2016-04-29
-3194.115928093371,2016-05-03
179124.3750854959,2016-05-04
-701322.6235597997,2016-05-05
-298703.19901200396,2016-05-06
-45118.4610140006,2016-05-09
97776.24739180334,2016-05-10
-287612.92478999746,2016-05-11
467541.1289190012,2016-05-12
129229.87165559463,2016-05-13
-352734.0278865998,2016-05-16
-260507.9376698032,2016-05-17
-3175048.5542203984,2016-05-18
-14441.297203695864,2016-05-19
18828.539018499036,2016-05-20
-174892.58275179667,2016-05-23
-18918.21696700439,2016-05-24
-43136.30322400011,2016-05-25
-64870.496816099316,2016-05-26
210045.66906379914,2016-05-27
316650.3403336037,2016-05-30
-59517.291340402764,2016-05-31
111327.36338119695,2016-06-01
-4166.5541219954885,2016-06-02
-48148.863056499824,2016-06-03
27032.092479999672,2016-06-06
-25913.61898380027,2016-06-07
-304194.54622769734,2016-06-08
-56307.487638000675,2016-06-13
147568.66762219963,2016-06-14
-37088.79626630044,2016-06-15
50968.009844998815,2016-06-16
84500.63121839853,2016-06-17
-151432.30623740083,2016-06-20
36440.51498260166,2016-06-21
-78392.90041959868,2016-06-22
-76923.04558239946,2016-06-23
84967.336233698,2016-06-24
26310.350937900304,2016-06-27
47619.882774701204,2016-06-28
-43372.29022910006,2016-06-29
-12245.568924200144,2016-06-30
189714.79209570203,2016-07-01
1607.3506399957894,2016-07-04
14743.515763301471,2016-07-05
105821.25069700062,2016-07-06
15981.800380599423,2016-07-07
89151.40519600007,2016-07-08
81244.60514410264,2016-07-11
15459.357803799698,2016-07-12
-40933.81979650279,2016-07-13
-42725.72714390033,2016-07-14
32233.736298802236,2016-07-15
-15053.615682802589,2016-07-18
-131354.39603789686,2016-07-19
31639.149809096543,2016-07-20
-249957.16673519652,2016-07-21
-13003.938178601466,2016-07-22
111731.39134959952,2016-07-25
-311751.2934537996,2016-07-26
3823.378410900452,2016-07-27
-56583.789854000446,2016-07-28
-58140.38903770007,2016-07-29
64282.07019960098,2016-08-01
18302.444130598404,2016-08-02
3600.5633430016483,2016-08-03
41827.14893899922,2016-08-04
77758.72938699799,2016-08-05
39192.38224820261,2016-08-08
-38023.354418301824,2016-08-09
-106738.27282600064,2016-08-10
151213.0805043015,2016-08-11
183720.3089778021,2016-08-12
-39328.01364570051,2016-08-15
-59351.52358900217,2016-08-16
-14067.069508996594,2016-08-17
-8177.856100803087,2016-08-18
-58672.289487999275,2016-08-19
7027.711089802048,2016-08-22
-29248.255392302126,2016-08-23
85918.27239900113,2016-08-24
-59376.06108099734,2016-08-25
-75335.65286940231,2016-08-26
-67283.46673650213,2016-08-29
30582.177956500906,2016-08-30
-83492.40231129833,2016-08-31
32573.760949999887,2016-09-01
-724.6949420006783,2016-09-02
29073.329759598888,2016-09-05
-1040.857555000192,2016-09-06
-19232.499039802446,2016-09-07
-83073.28324729815,2016-09-08
-188147.0969775961,2016-09-09
69742.00699639878,2016-09-12
-42631.30983100058,2016-09-13
43961.82687830048,2016-09-14
-32952.22186100293,2016-09-19
21.885639101979127,2016-09-20
107378.86321990205,2016-09-21
-34758.93342700075,2016-09-22
-150177.2404265013,2016-09-23
50224.196386001306,2016-09-26
-38502.120282400334,2016-09-27
-3645.5764079978376,2016-09-28
5891.941654796593,2016-09-29
70720.15595449721,2016-09-30
26880.411715204074,2016-10-10
-30871.002983101025,2016-10-11
-18903.94483049815,2016-10-12
-10909.686823502474,2016-10-13
-55007.65554989907,2016-10-14
62163.19505419827,2016-10-17
-18340.709793599377,2016-10-18
51184.883971500116,2016-10-19
46732.50408949904,2016-10-20
67095.52507580386,2016-10-21
24502.957051498728,2016-10-24
-100567.59037380015,2016-10-25
-12438.483834398825,2016-10-26
-45417.3457949028,2016-10-27
523.32018800195,2016-10-28
149957.0496296994,2016-10-31
-14519.725544999004,2016-11-01
-1487.9001652997374,2016-11-02
-216.73698449966366,2016-11-03
-40616.63386170283,2016-11-04
20730.020271501297,2016-11-07
4141.3911390001,2016-11-08
69320.06029519976,2016-11-09
120548.87692979931,2016-11-10
24561.914830802936,2016-11-11
-1640.9451561029553,2016-11-14
17253.276384704706,2016-11-15
27149.087392597543,2016-11-16
-136600.29775099835,2016-11-17
15711.284531901394,2016-11-18
76012.14864609798,2016-11-21
-19564.97957400344,2016-11-22
3988.667825504425,2016-11-23
50230.729219397275,2016-11-24
173800.15377469966,2016-11-25
115640.18762790012,2016-11-28
-160841.9382229981,2016-11-29
305963.6759814016,2016-11-30
-108084.38923120548,2016-12-01
-163262.2940432975,2016-12-02
-96771.9429057993,2016-12-05
56166.7960441013,2016-12-06
-48159.156844803205,2016-12-07
-3514.0998626977926,2016-12-08
-319854.69081310206,2016-12-09
53149.557606997,2016-12-12
-18316.283347096418,2016-12-13
97492.4949391986,2016-12-14
28517.320062103103,2016-12-15
-13024.38796110259,2016-12-16
-121626.75791459938,2016-12-19
242304.48118599973,2016-12-20
-72769.87000840239,2016-12-21
-158194.86126549728,2016-12-22
-5693.373408902756,2016-12-23
-36710.368220995624,2016-12-26
-65949.70580659983,2016-12-27
3916.7501939995227,2016-12-28
-14056.439006001758,2016-12-29
83112.18140559921,2016-12-30
27788.536410301633,2017-01-03
-36334.93755410174,2017-01-04
-13529.805054899922,2017-01-05
-1319.6987483986168,2017-01-06
-23072.60739500156,2017-01-09
-38716.73374679622,2017-01-10
-41227.27328360121,2017-01-11
9403.818943801323,2017-01-12
62692.5585215951,2017-01-13
12847.095543002622,2017-01-16
-40907.11881620113,2017-01-17
-76809.6705069978,2017-01-18
65439.724886699616,2017-01-19
68336.19506240079,2017-01-20
-50833.72858920221,2017-01-23
14260.119006600096,2017-01-24
42005.06489139978,2017-01-25
-65125.53309109636,2017-01-26
-42865.599651001525,2017-02-03
21964.77723699972,2017-02-06
58306.253745397255,2017-02-07
50916.39178130245,2017-02-08
58271.847642000364,2017-02-09
76788.65055700108,2017-02-10
-24184.183776402166,2017-02-13
-133925.95526379877,2017-02-14
78137.78804859969,2017-02-15
-114252.23426789863,2017-02-16
137406.35289279636,2017-02-17
26090.271964800915,2017-02-20
91492.15243849893,2017-02-21
-79443.48431379834,2017-02-22
17451.25389500298,2017-02-23
-102061.88573780499,2017-02-24
17764.851833304376,2017-02-27
8355.793138896739,2017-02-28
-62152.071536099116,2017-03-01
-20864.174907796994,2017-03-02
6122.0733611952965,2017-03-03
-44002.42383699699,2017-03-06
62655.9565730011,2017-03-07
-67344.27377900406,2017-03-08
29892.34190940455,2017-03-09
214558.15833059742,2017-03-10
-72646.59905720079,2017-03-13
28483.17490980312,2017-03-14
71808.78904599621,2017-03-15
-103730.8201015975,2017-03-16
-38429.24278900173,2017-03-17
24629.93950799906,2017-03-20
-111910.73929969694,2017-03-21
144511.41541540026,2017-03-22
-2785.3335960022087,2017-03-23
-28447.609675198597,2017-03-24
-20422.364240600727,2017-03-27
-23580.97456660075,2017-03-28
-162815.59258679854,2017-03-29
34179.29895379957,2017-03-30
168392.06519469872,2017-03-31
124503.79454450068,2017-04-05
-31128.21739699802,2017-04-06
44071.38442780109,2017-04-07
10634.244435400959,2017-04-10
11247.065026397198,2017-04-11
-7662.040761701832,2017-04-12
-33113.0281211992,2017-04-13
-64711.266048200494,2017-04-14
-112403.72507589859,2017-04-17
-35455.27308499987,2017-04-18
28314.96581419937,2017-04-19
30507.0638100004,2017-04-20
-159502.89267810216,2017-04-21
-28715.85294899813,2017-04-24
-38699.50574250004,2017-04-25
16110.97080700052,2017-04-26
1997.272567998559,2017-04-27
83907.97096970033,2017-04-28
-10710.052611099658,2017-05-02
-31180.1613522998,2017-05-03
-113516.44070029739,2017-05-04
-70590.42852419945,2017-05-05
-3427.0636049037994,2017-05-08
-258181.3079219984,2017-05-09
-140140.65418800042,2017-05-10
-42435.711972801015,2017-05-11
25098.1359720009,2017-05-12
84761.04378499846,2017-05-15
1516.7110245017054,2017-05-16
-23154.95581359942,2017-05-17
16794.160678998902,2017-05-18
-57132.456152799896,2017-05-19
-170971.29808419777,2017-05-22
56064.303892497985,2017-05-23
95234.51481269911,2017-05-24
-2067.0767509981483,2017-05-25
-213754.40109500242,2017-05-26
-140938.83865799796,2017-05-31
10478.086373598195,2017-06-01
19145.8997460018,2017-06-02
14740.680438500574,2017-06-05
85798.4988669985,2017-06-06
-175.3600013978228,2017-06-07
-15712.689498299595,2017-06-08
-72346.22697960206,2017-06-09
