train/reward,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/std
-51.165665,217088,872,106,248,0.00025,0.299072265625,0.15184158086776733,0.2,2340.78564453125,-63.324072647094724,4385.614533233643,1050,-0.02345656058532768,0.030460054,1.282930850982666
26.613792,219136,880,107,248,0.00025,0.291943359375,0.09211301803588867,0.2,3182.030517578125,-63.39863784313202,5710.876315307617,1060,-0.017133549536811187,0.037543338,1.2858027219772339
19.247807,221184,888,108,248,0.00025,0.235205078125,0.039490699768066406,0.2,2454.3017578125,-63.48320128917694,8709.67936553955,1070,-0.01901253488904331,0.021422567,1.2890491485595703
4.3678203,223232,897,109,248,0.00025,0.199658203125,0.122650146484375,0.2,2199.616943359375,-63.57371883392334,5898.262634277344,1080,-0.028584946047340055,0.019032247,1.2913081645965576
-0.14972761,225280,905,110,248,0.00025,0.28466796875,0.1485479474067688,0.2,2267.280029296875,-63.644889903068545,4541.289135742188,1090,-0.017484991224773695,0.03188049,1.294434905052185
-0.18563552,227328,913,111,248,0.00025,0.2064453125,0.1003761887550354,0.2,1783.1844482421875,-63.724325609207156,5020.87059173584,1100,-0.028975076584902126,0.018092953,1.29676353931427
-13.36007,229376,922,112,248,0.00025,0.339990234375,0.11788004636764526,0.2,2501.915283203125,-63.785447883605954,4511.009638977051,1110,-0.023622983469977044,0.040398717,1.2990307807922363
21.846987,231424,930,113,248,0.00025,0.258251953125,0.09569680690765381,0.2,2020.7156982421875,-63.906322264671324,4511.578109741211,1120,-0.022020367739605716,0.028081944,1.3042277097702026
-18.884474,233472,938,114,248,0.00025,0.37666015625,0.14887815713882446,0.2,2430.65185546875,-64.05316944122315,5084.102323913574,1130,-0.015930505673168227,0.04182787,1.3087481260299683
-4.284524,235520,946,115,248,0.00025,0.262060546875,0.10862308740615845,0.2,2947.871826171875,-64.13959040641785,4839.714385986328,1140,-0.024095783510711045,0.032499403,1.3111671209335327
3.6933756,237568,955,116,248,0.00025,0.304833984375,0.06822019815444946,0.2,2600.756103515625,-64.21765441894532,5297.114672851562,1150,-0.015089336529490538,0.027275283,1.3139560222625732
12.794447,239616,963,117,248,0.00025,0.208203125,0.05821305513381958,0.2,3634.14306640625,-64.30255055427551,6023.1938751220705,1160,-0.028532185740186834,0.018243082,1.3170500993728638
17.540798,241664,971,118,248,0.00025,0.220458984375,0.09398895502090454,0.2,4108.64013671875,-64.3734094619751,7584.427241516113,1170,-0.019905424395983574,0.034331083,1.3194953203201294
18.695646,243712,979,119,248,0.00025,0.317041015625,0.03935641050338745,0.2,3493.796630859375,-64.46624388694764,5798.203890991211,1180,-0.005137612420367077,0.038944393,1.3236539363861084
3.8476863,245760,987,120,248,0.00025,0.218212890625,0.06865835189819336,0.2,1623.82421875,-64.57745628356933,3886.5330459594725,1190,-0.019167660297534896,0.023509897,1.3268383741378784
-4.4660015,247808,995,121,248,0.00025,0.35595703125,0.11119234561920166,0.2,1321.177978515625,-64.63916745185853,3134.559674835205,1200,-0.027894625905901194,0.03754369,1.3281126022338867
-0.9574395,249856,1003,122,249,0.00025,0.30791015625,0.0689954161643982,0.2,1202.335693359375,-64.68509726524353,3578.9440979003907,1210,-0.014565169010893442,0.031757906,1.3298190832138062
13.1133375,251904,1011,123,249,0.00025,0.41044921875,0.08658909797668457,0.2,1342.5045166015625,-64.76180167198181,2606.1853897094725,1220,-0.004971547255991027,0.039958782,1.333200454711914
0.15904553,253952,1019,124,249,0.00025,0.336083984375,0.079104483127594,0.2,2215.672119140625,-64.83701667785644,3323.3569145202637,1230,-0.012289514372241683,0.034528807,1.3355563879013062
31.222843,256000,1028,125,248,0.00025,0.291845703125,0.028805851936340332,0.2,3035.89306640625,-64.9401451587677,4329.649404907226,1240,-0.01624131393036805,0.041891307,1.3403180837631226
-10.819521,258048,1036,126,248,0.00025,0.271533203125,0.018120408058166504,0.2,2044.023681640625,-65.05109815597534,5086.1348899841305,1250,-0.01659226628835313,0.034821045,1.3435596227645874
-1.1420858,260096,1044,127,248,0.00025,0.287158203125,0.024967670440673828,0.2,1501.0535888671875,-65.14307527542114,3622.6122512817383,1260,-0.021441541876993143,0.024618834,1.3462514877319336
-0.19939674,262144,1053,128,248,0.00025,0.300244140625,0.02468925714492798,0.2,2522.46533203125,-65.23647952079773,4315.786534881592,1270,-0.013015797492698766,0.03338951,1.3504046201705933
0.545766,264192,1061,129,248,0.00025,0.278759765625,0.0184403657913208,0.2,2525.85009765625,-65.34182767868042,3482.873998260498,1280,-0.018350243498571218,0.036580183,1.3541415929794312
2.9362059,266240,1069,130,248,0.00025,0.386572265625,0.008102238178253174,0.2,650.958740234375,-65.48178400993348,2763.0071815490724,1290,-0.015661739064671564,0.0431107,1.360145926475525
2.3144183,268288,1077,131,248,0.00025,0.2990234375,-6.29425048828125e-05,0.2,2358.796142578125,-65.63161811828613,3627.9756401062014,1300,-0.015574843887588941,0.040330797,1.3652924299240112
-6.1012125,270336,1086,132,248,0.00025,0.245068359375,-0.00019121170043945312,0.2,1660.8858642578125,-65.72367610931397,3932.493000793457,1310,-0.02924092004832346,0.01921241,1.366883635520935
2.5955298,272384,1094,133,248,0.00025,0.29541015625,0.018199563026428223,0.2,1367.3416748046875,-65.77442688941956,2717.813809967041,1320,-0.025512164376414147,0.02774699,1.368867039680481
2.7247105,274432,1102,134,248,0.00025,0.280224609375,0.02357184886932373,0.2,1984.2357177734375,-65.80993485450745,4394.311933898925,1330,-0.02405316078220494,0.027196636,1.3699560165405273
-27.90297,276480,1110,135,248,0.00025,0.239990234375,-0.014710187911987305,0.2,1973.9112548828125,-65.87021350860596,5044.817381286621,1340,-0.01577473068609834,0.027132608,1.3725467920303345
-20.401876,278528,1118,136,248,0.00025,0.205859375,0.0027921199798583984,0.2,3346.5615234375,-65.93735280036927,6021.041844177246,1350,-0.01960044339648448,0.019763635,1.3746832609176636
-27.278423,280576,1126,137,248,0.00025,0.21640625,0.00948178768157959,0.2,1808.6412353515625,-65.99541535377503,4170.076641082764,1360,-0.026612177153583615,0.017711846,1.3767763376235962
-12.008169,282624,1135,138,248,0.00025,0.352392578125,0.01190328598022461,0.2,879.6195068359375,-66.0576575756073,2692.8076683044433,1370,-0.013546479510841892,0.053103924,1.379818081855774
-3.802943,284672,1143,139,249,0.00025,0.26708984375,0.015001773834228516,0.2,1908.7017822265625,-66.18510403633118,2370.828118133545,1380,-0.027991019806358965,0.03127938,1.3861767053604126
-5.344962,286720,1151,140,249,0.00025,0.30107421875,-0.006992697715759277,0.2,1906.7728271484375,-66.30128884315491,3859.1045066833494,1390,-0.013898523029638454,0.029404169,1.388146996498108
-7.2152762,288768,1159,141,248,0.00025,0.368603515625,-3.421306610107422e-05,0.2,1405.2520751953125,-66.40143780708313,2433.9422439575196,1400,-0.020108835797873325,0.047187887,1.3937805891036987
-36.184624,290816,1168,142,248,0.00025,0.3033203125,0.003560185432434082,0.2,1240.9508056640625,-66.54367909431457,2759.713697052002,1410,-0.029006327530078126,0.034243163,1.3983821868896484
-0.16706781,292864,1176,143,248,0.00025,0.271435546875,0.002411186695098877,0.2,2369.87255859375,-66.64398002624512,5040.841176605225,1420,-0.02118331934325397,0.026039869,1.4017612934112549
-11.62118,294912,1184,144,248,0.00025,0.29462890625,0.010546088218688965,0.2,1523.1058349609375,-66.76050958633422,2676.871627807617,1430,-0.02718162708042655,0.026734425,1.4063184261322021
27.949514,296960,1192,145,248,0.00025,0.322998046875,0.014800310134887695,0.2,3545.912353515625,-66.83727860450745,5931.0379837036135,1440,-0.007722382331849076,0.05151418,1.4080994129180908
-8.448115,299008,1201,146,248,0.00025,0.392919921875,0.01842266321182251,0.2,1466.7603759765625,-66.89494490623474,2808.853446960449,1450,-0.013580521878611761,0.04263256,1.4108997583389282
